OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
78,FREX,Fraxinus excelsior,Fraxinus,excelsior,,European ash,"ash, European",,deciduous,broadleaved,6,no
227,ULGL,Ulmus glabra Camperdown,Ulmus,glabra,Camperdown,Camperdown elm,"elm, Camperdown",,deciduous,broadleaved,2,no
172,PYUS,Pyrus ussuriensis,Pyrus,ussuriensis,,Ussurian pear,"pear, Ussurian",Chinese pear,deciduous,broadleaved,2,yes
54,CLLU,Cladrastis kentukea,Cladrastis,kentukea,,Yellowwood,Yellowwood,,deciduous,broadleaved,1,yes
40,CAOV,Carya ovata,Carya,ovata,,Shagbark hickory,"hickory, Shagbark",,deciduous,broadleaved,1,yes
120,PI1,Picea spp,Picea,spp,,spruce unknown species,spruce unknown species,,evergreen,needleleaved,69,no
36,CADE2,Calocedrus decurrens,Calocedrus,decurrens,,Incense cedar,"cedar, Incense",,evergreen,needleleaved,1,no
169,PYCA,Pyrus calleryana,Pyrus,calleryana,,Flowering pear,"pear, Flowering",Callery pear,deciduous,broadleaved,821,yes
71,ELAN,Elaeagnus angustifolia,Elaeagnus,angustifolia,,Russian olive,"olive, Russian",,deciduous,broadleaved,854,no
186,QURO,Quercus robur,Quercus,robur,,English oak,"oak, English",,deciduous,broadleaved,356,yes
250,ULAM,Ulmus americana Valley Forge,Ulmus,americana,Valley Forge,Valley Forge American elm,"elm, Valley Forge American",,deciduous,broadleaved,0,yes
18,AC,Acer spp,Acer,spp,,maple unknown species,maple unknown species,,deciduous,broadleaved,49,no
245,MASY2,Malus sylvestris Spring Snow,Malus,sylvestris,Spring Snow,Spring Snow crabapple,"crabapple, Spring Snow",,deciduous,broadleaved,0,yes
166,PRYE,Prunus yedoensis,Prunus,yedoensis,,Yoshino Flowering cherry,"cherry, Yoshino Flowering",,deciduous,broadleaved,49,no
249,SOAR,Sorbus aria,Sorbus,aria,,Common whitebeam,"whitebeam, Common",,deciduous,broadleaved,0,yes
58,COCO2,Corylus colurna,Corylus,colurna,,Turkish filbert,"filbert, Turkish",Turkish hazelnut,deciduous,broadleaved,78,yes
232,ULS,Ulmus spp,Ulmus,spp,,elm unknown species,elm unknown species,,deciduous,broadleaved,45,no
137,PIWA1,Pinus wallichiana,Pinus,wallichiana,,Bhutan pine,"pine, Bhutan",Himalayan White pine,evergreen,needleleaved,0,no
46,CELA,Celtis laevigata,Celtis,laevigata,,Sugarberry,Sugarberry,,deciduous,broadleaved,37,no
131,PIPO,Pinus ponderosa,Pinus,ponderosa,,Ponderosa pine,"pine, Ponderosa",,evergreen,needleleaved,1085,yes
116,PIEN,Picea engelmannii,Picea,engelmannii,,Engelmann spruce,"spruce, Engelmann",,evergreen,needleleaved,67,yes
49,CE2,Celtis spp,Celtis,spp,,hackberry unknown species,hackberry unknown species,,deciduous,broadleaved,21,no
223,ULAM,Ulmus americana,Ulmus,americana,,American elm,"elm, American",,deciduous,broadleaved,316,yes
163,PR,Prunus spp,Prunus,spp,,plum unknown species,plum unknown species,,deciduous,broadleaved,491,no
97,LADE,Larix decidua,Larix,decidua,,European larch,"larch, European",,deciduous,broadleaved,2,yes
138,PLOC,Platanus occidentalis,Platanus,occidentalis,,American sycamore,"sycamore, American",,deciduous,broadleaved,20,no
235,VISP2,Viburnum spp,Viburnum,spp,,viburnum unknown species,viburnum unknown species,,deciduous,broadleaved,5,no
9,ACNE,Acer negundo,Acer,negundo,,Boxelder,Boxelder,,deciduous,broadleaved,850,yes
14,ACPS,Acer pseudoplatanus,Acer,pseudoplatanus,,Sycamore maple,"maple, Sycamore",,deciduous,broadleaved,14,yes
194,RHSP2,Rhamnus spp,Rhamnus,spp,,buckthorn unknown species,buckthorn unknown species,,deciduous,broadleaved,10,no
159,PRPU1,Prunus pumila,Prunus,pumila,,Sand cherry,"cherry, Sand",,deciduous,broadleaved,1,no
158,PRPE2,Prunus persica,Prunus,persica,,Peach,Peach,,deciduous,broadleaved,39,no
216,TA,Taxus spp,Taxus,spp,,yew unknown species,yew unknown species,,evergreen,needleleaved,1,no
170,PYCO,Pyrus communis,Pyrus,communis,,Fruiting pear,"pear, Fruiting",Common pear,deciduous,broadleaved,15,no
100,LITU,Liriodendron tulipifera,Liriodendron,tulipifera,,Tuliptree,Tuliptree,,deciduous,broadleaved,24,yes
42,CABI,Catalpa bignonioides,Catalpa,bignonioides,,Southern catalpa,"catalpa, Southern",Common catalpa,deciduous,broadleaved,6,no
242,MASY2,Malus sylvestris Dolgo,Malus,sylvestris,Dolgo,Dolgo crabapple,"crabapple, Dolgo",,deciduous,broadleaved,0,yes
230,ULAM,Ulmus propinqua Emerald Sunshine,Ulmus,propinqua,Emerald Sunshine,Emerald Sunshine elm,"elm, Emerald Sunshine",,deciduous,broadleaved,2,yes
202,SADI,Salix discolor,Salix,discolor,,Pussy willow,"willow, Pussy",,deciduous,broadleaved,9,no
185,QUPR,Quercus prinus,Quercus,prinus,,Chestnut oak,"oak, Chestnut",,deciduous,broadleaved,3,yes
140,PLAC1,Platanus x acerifolia,Platanus,x acerifolia,,London planetree,"planetree, London",,deciduous,broadleaved,192,yes
68,CUAR,Cupressus arizonica,Cupressus,arizonica,,Arizona cypress,"cypress, Arizona",,evergreen,needleleaved,1,yes
241,MASY2,Malus sylvestris Coralburst,Malus,sylvestris,Coralburst,Coralburst crabapple,"crabapple, Coralburst",,deciduous,broadleaved,0,yes
225,ULDA,Ulmus davidiana,Ulmus,davidiana,,David elm,"elm, David",,deciduous,broadleaved,5,yes
77,FRAN2,Fraxinus angustifolia,Fraxinus,angustifolia,,Narrow-leafed ash,"ash, Narrow-leafed",Raywood ash,deciduous,broadleaved,1,no
25,AECA,Aesculus x carnea,Aesculus,x carnea,,Red horsechestnut,"horsechestnut, Red",,deciduous,broadleaved,17,yes
174,QUAL,Quercus alba,Quercus,alba,,White oak,"oak, White",,deciduous,broadleaved,74,yes
81,FRPE,Fraxinus pennsylvanica,Fraxinus,pennsylvanica,,Green ash,"ash, Green",,deciduous,broadleaved,4978,no
211,SYRE,Syringa pekinensis,Syringa,pekinensis,,Peking lilac tree,"lilac tree, Peking",,deciduous,broadleaved,3,no
57,CO1,Cornus spp,Cornus,spp,,dogwood unknown species,dogwood unknown species,,deciduous,broadleaved,4,no
153,PRAM,Prunus americana,Prunus,americana,,American plum,"plum, American",,deciduous,broadleaved,38,no
67,CR,Crataegus spp,Crataegus,spp,,hawthorn unknown species,hawthorn unknown species,,deciduous,broadleaved,402,no
177,QUEL,Quercus ellipsoidalis,Quercus,ellipsoidalis,,Northern Pin oak,"oak, Northern Pin",,deciduous,broadleaved,0,no
61,CRCR,Crataegus crus-galli,Crataegus,crus-galli,,Cockspur hawthorn,"hawthorn, Cockspur",,deciduous,broadleaved,73,yes
247,ACNE,Acer negundo Sensation,Acer,negundo,Sensation,Sensation boxelder,"boxelder, Sensation",,deciduous,broadleaved,0,yes
20,ACFR,Acer x freemanii,Acer,x freemanii,,Freeman maple,"maple, Freeman",,deciduous,broadleaved,354,no
164,PRVI,Prunus virginiana,Prunus,virginiana,,Chokecherry,Chokecherry,,deciduous,broadleaved,425,yes
88,JUNI,Juglans nigra,Juglans,nigra,,Black walnut,"walnut, Black",,deciduous,broadleaved,95,no
215,TABA,Taxus baccata,Taxus,baccata,,Yew,Yew,English yew,evergreen,needleleaved,6,no
27,ALIN,Alnus incana,Alnus,incana,,Grey alder,"alder, Grey",,deciduous,broadleaved,1,no
82,FRQU,Fraxinus quadrangulata,Fraxinus,quadrangulata,,Blue ash,"ash, Blue",,deciduous,broadleaved,3,no
102,MA1,Magnolia spp,Magnolia,spp,,magnolia unknown species,magnolia unknown species,,deciduous,broadleaved,3,no
130,PINI,Pinus nigra,Pinus,nigra,,Austrian pine,"pine, Austrian",,evergreen,needleleaved,1808,no
